--------- beginning of main
07-15 00:24:03.006 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:24:18.932 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:24:34.761 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:24:50.634 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:25:08.067 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:25:23.612 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:25:39.305 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:25:55.123 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:26:11.045 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:26:26.954 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:26:44.312 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 8 lines
07-15 00:27:38.308 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200671(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 160us total 220.303ms
07-15 00:27:39.907 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202297(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 169us total 220.084ms
07-15 00:27:41.498 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201733(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 175us total 212.493ms
07-15 00:27:43.090 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201532(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 435us total 205.751ms
07-15 00:27:44.652 17906 17920 I vision.svplaye: Background concurrent copying GC freed 197831(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 146us total 205.955ms
07-15 00:27:46.221 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198873(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 192us total 205.138ms
07-15 00:27:47.792 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198476(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 196us total 207.953ms
07-15 00:27:49.383 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199166(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 168us total 214.736ms
07-15 00:27:50.957 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200584(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 220us total 211.809ms
07-15 00:27:52.545 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198627(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 197us total 214.471ms
07-15 00:27:54.119 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200366(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 159us total 213.223ms
07-15 00:27:55.707 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199240(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 193us total 215.396ms
07-15 00:27:57.301 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200683(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 196us total 210.068ms
