--------- beginning of main
07-21 08:55:12.011 13619 13629 I vision.svplaye: Background concurrent copying GC freed 200192(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 214us total 307.323ms
07-21 08:55:14.453 13619 13629 I vision.svplaye: Background concurrent copying GC freed 204874(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 218us total 454.123ms
07-21 08:55:16.782 13619 13629 I vision.svplaye: Background concurrent copying GC freed 214249(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 720us total 340.515ms
07-21 08:55:18.534 13619 13780 W AmazonKeyEventLogging: remote_perf key event latency detected [Source: ViewRootImpl, KeyCode: KEYCODE_XXXX, IsDown: 1, Repeat: 0, EventTime: 20916855, Latency: 278, DeviceId: 6, AppPackage: com.smartvision.svplayer]
07-21 08:55:18.622 13619 13780 W AmazonKeyEventLogging: remote_perf key event latency detected [Source: ViewRootImpl, KeyCode: KEYCODE_XXXX, IsDown: 0, Repeat: 0, EventTime: 20916995, Latency: 226, DeviceId: 6, AppPackage: com.smartvision.svplayer]
07-21 08:55:19.338 13619 13629 I vision.svplaye: Background concurrent copying GC freed 202165(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 27MB/33MB, paused 278us total 519.794ms
07-21 08:55:21.745 13619 13629 I vision.svplaye: Background concurrent copying GC freed 221885(6MB) AllocSpace objects, 0(0B) LOS objects, 17% free, 27MB/33MB, paused 188us total 557.524ms
07-21 08:55:24.317 13619 13629 I vision.svplaye: Background concurrent copying GC freed 230944(7MB) AllocSpace objects, 0(0B) LOS objects, 17% free, 27MB/33MB, paused 190us total 609.004ms
07-21 08:55:26.486 13619 13629 I vision.svplaye: Background concurrent copying GC freed 231089(7MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 242us total 322.256ms
07-21 08:55:28.626 13619 13629 I vision.svplaye: Background concurrent copying GC freed 204433(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 177us total 317.665ms
07-21 08:55:30.843 13619 13629 I vision.svplaye: Background concurrent copying GC freed 206511(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 159us total 316.793ms
07-21 08:55:33.069 13619 13629 I vision.svplaye: Background concurrent copying GC freed 203587(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 212us total 308.129ms
07-21 08:55:35.293 13619 13629 I vision.svplaye: Background concurrent copying GC freed 200964(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 170us total 307.914ms
07-21 08:55:37.508 13619 13629 I vision.svplaye: Background concurrent copying GC freed 198868(6MB) AllocSpace objects, 1(20KB) LOS objects, 18% free, 26MB/32MB, paused 185us total 311.650ms
07-21 08:55:39.739 13619 13629 I vision.svplaye: Background concurrent copying GC freed 201276(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 167us total 312.685ms
07-21 08:55:41.956 13619 13629 I vision.svplaye: Background concurrent copying GC freed 201389(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 284us total 307.880ms
07-21 08:55:44.194 13619 13629 I vision.svplaye: Background concurrent copying GC freed 201445(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 181us total 319.145ms
07-21 08:55:46.456 13619 13629 I vision.svplaye: Background concurrent copying GC freed 201479(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 309us total 317.820ms
07-21 08:55:48.678 13619 13629 I vision.svplaye: Background concurrent copying GC freed 203618(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 185us total 315.161ms
07-21 08:55:50.899 13619 13629 I vision.svplaye: Background concurrent copying GC freed 201210(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 149us total 309.618ms
07-21 08:55:53.076 13619 13629 I vision.svplaye: Background concurrent copying GC freed 197114(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 171us total 306.441ms
07-21 08:55:55.323 13619 13629 I vision.svplaye: Background concurrent copying GC freed 201317(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 176us total 308.293ms
07-21 08:55:57.550 13619 13629 I vision.svplaye: Background concurrent copying GC freed 203815(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 283us total 298.655ms
07-21 08:55:59.800 13619 13629 I vision.svplaye: Background concurrent copying GC freed 199788(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 265us total 322.307ms
07-21 08:56:02.100 13619 13629 I vision.svplaye: Background concurrent copying GC freed 205364(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 167us total 345.062ms
07-21 08:56:04.345 13619 13629 I vision.svplaye: Background concurrent copying GC freed 204661(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 228us total 323.290ms
07-21 08:56:06.505 13619 13629 I vision.svplaye: Background concurrent copying GC freed 201309(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 224us total 317.399ms
07-21 08:56:08.653 13619 13629 I vision.svplaye: Background concurrent copying GC freed 206037(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 192us total 300.916ms
07-21 08:56:10.831 13619 13629 I vision.svplaye: Background concurrent copying GC freed 206669(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 213us total 313.896ms
07-21 08:56:12.989 13619 13629 I vision.svplaye: Background concurrent copying GC freed 207277(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 215us total 300.459ms
07-21 08:56:15.164 13619 13629 I vision.svplaye: Background concurrent copying GC freed 206302(6MB) AllocSpace objects, 0(0B) LOS objects, 18% free, 26MB/32MB, paused 204us total 311.645ms
