--------- beginning of main
07-21 20:03:48.029 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 1 line
07-21 20:03:48.306 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 3 lines
07-21 20:03:48.416 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 1 line
07-21 20:03:48.778 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 1 line
07-21 20:03:49.127 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 1 line
07-21 20:03:49.814 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 1 line
07-21 20:03:50.009 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 2 lines
07-21 20:03:51.022 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-21 20:04:07.268 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-21 20:04:26.174 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 6 lines
07-21 20:04:33.928 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 1 line
07-21 20:04:34.278 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 4 lines
07-21 20:04:35.392 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 4 lines
07-21 20:04:36.221 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 1 line
07-21 20:04:37.844 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 2 lines
07-21 20:04:38.319 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-21 20:04:54.224 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 3 lines
07-21 20:05:36.499 15386 15403 I vision.svplaye: Background concurrent copying GC freed 208819(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 200us total 279.611ms
07-21 20:05:38.145 15386 15403 I vision.svplaye: Background concurrent copying GC freed 211916(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 187us total 275.589ms
07-21 20:05:39.789 15386 15403 I vision.svplaye: Background concurrent copying GC freed 210485(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 184us total 268.775ms
07-21 20:05:41.433 15386 15403 I vision.svplaye: Background concurrent copying GC freed 209942(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 201us total 261.660ms
07-21 20:05:43.061 15386 15403 I vision.svplaye: Background concurrent copying GC freed 209439(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 166us total 261.146ms
07-21 20:05:44.687 15386 15403 I vision.svplaye: Background concurrent copying GC freed 208869(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 166us total 255.135ms
07-21 20:05:46.311 15386 15403 I vision.svplaye: Background concurrent copying GC freed 207226(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 208us total 258.746ms
07-21 20:05:47.937 15386 15403 I vision.svplaye: Background concurrent copying GC freed 207394(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 199us total 257.753ms
07-21 20:05:49.575 15386 15403 I vision.svplaye: Background concurrent copying GC freed 208379(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 159us total 269.779ms
07-21 20:05:51.225 15386 15403 I vision.svplaye: Background concurrent copying GC freed 210634(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 169us total 269.166ms
