07-21 19:59:27.688 15386 15403 I vision.svplaye: Background concurrent copying GC freed 198007(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 156us total 150.018ms
07-21 19:59:28.884 15386 15403 I vision.svplaye: Background concurrent copying GC freed 194791(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 155us total 132.938ms
07-21 19:59:29.977 15386 15403 I vision.svplaye: Background concurrent copying GC freed 190750(5MB) AllocSpace objects, 1(20KB) LOS objects, 39% free, 9MB/15MB, paused 147us total 133.309ms
07-21 19:59:31.047 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193248(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 189us total 125.941ms
07-21 19:59:32.110 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192157(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 161us total 133.700ms
07-21 19:59:33.168 15386 15403 I vision.svplaye: Background concurrent copying GC freed 195080(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 171us total 129.836ms
07-21 19:59:34.223 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193606(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 150us total 127.903ms
07-21 19:59:35.272 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193345(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 181us total 127.258ms
07-21 19:59:36.343 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193736(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 176us total 141.115ms
07-21 19:59:37.579 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193167(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 194us total 139.215ms
07-21 19:59:38.680 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193490(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 172us total 131.869ms
07-21 19:59:39.747 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192912(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 147us total 128.162ms
07-21 19:59:40.809 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192406(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 203us total 130.479ms
07-21 19:59:41.857 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193661(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 160us total 128.336ms
07-21 19:59:42.929 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193524(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 143us total 132.795ms
07-21 19:59:43.995 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193456(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 157us total 128.780ms
07-21 19:59:45.046 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193526(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 163us total 125.740ms
07-21 19:59:46.099 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193557(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 157us total 127.055ms
07-21 19:59:47.170 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193581(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 160us total 130.896ms
07-21 19:59:48.228 15386 15403 I vision.svplaye: Background concurrent copying GC freed 191381(5MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 168us total 128.141ms
07-21 19:59:49.319 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193436(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 151us total 128.687ms
07-21 19:59:50.382 15386 15403 I vision.svplaye: Background concurrent copying GC freed 194886(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 146us total 130.784ms
07-21 19:59:51.425 15386 15403 I vision.svplaye: Background concurrent copying GC freed 194283(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 231us total 132.012ms
07-21 19:59:52.493 15386 15403 I vision.svplaye: Background concurrent copying GC freed 194374(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 170us total 125.994ms
07-21 19:59:53.542 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192694(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 179us total 125.387ms
07-21 19:59:54.597 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193463(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 146us total 126.170ms
07-21 19:59:55.661 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192732(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 169us total 130.811ms
07-21 19:59:56.705 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193885(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 168us total 129.335ms
07-21 19:59:57.753 15386 15403 I vision.svplaye: Background concurrent copying GC freed 194748(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 703us total 132.125ms
07-21 19:59:58.816 15386 15403 I vision.svplaye: Background concurrent copying GC freed 194219(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 163us total 127.559ms
07-21 19:59:59.873 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193110(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 174us total 131.484ms
07-21 20:00:00.989 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193627(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 197us total 128.068ms
07-21 20:00:02.039 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193143(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 162us total 132.289ms
07-21 20:00:03.341 15386 15403 I vision.svplaye: Background concurrent copying GC freed 194193(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 162us total 140.741ms
07-21 20:00:04.530 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192701(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 193us total 138.461ms
07-21 20:00:05.702 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192864(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 142us total 127.387ms
07-21 20:00:06.744 15386 15403 I vision.svplaye: Background concurrent copying GC freed 196383(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 167us total 132.726ms
