--------- beginning of main
07-15 01:10:20.522 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 01:10:44.341 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 01:11:08.245 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 01:11:32.107 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 01:11:58.270 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 01:12:22.045 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 01:12:45.865 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 9 lines
07-15 01:13:02.201 17906 17906 I chatty  : uid=10247(com.smartvision.svplayer) expire 2 lines
07-15 01:13:02.494 17906 17932 I chatty  : uid=10247(com.smartvision.svplayer) Profile Saver expire 2 lines
07-15 01:13:02.956 17906 17957 I chatty  : uid=10247(com.smartvision.svplayer) RenderThread expire 2 lines
07-15 01:13:04.259 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 01:13:20.254 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 01:13:36.199 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 01:13:52.176 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 3 lines
07-15 01:14:35.349 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207066(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 157us total 253.276ms
07-15 01:14:36.942 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206256(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 177us total 261.054ms
07-15 01:14:38.543 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206457(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 258us total 268.811ms
07-15 01:14:40.145 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207041(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 317us total 265.464ms
07-15 01:14:41.738 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204001(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 209us total 261.436ms
07-15 01:14:43.336 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205449(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 180us total 257.402ms
07-15 01:14:44.954 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206516(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 181us total 274.349ms
07-15 01:14:46.556 17906 17920 I vision.svplaye: Background concurrent copying GC freed 208677(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 260us total 263.686ms
07-15 01:14:48.126 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203994(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 188us total 267.004ms
07-15 01:14:49.731 17906 17920 I vision.svplaye: Background concurrent copying GC freed 208884(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 252us total 261.266ms
07-15 01:14:51.326 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206853(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 182us total 255.668ms
07-15 01:14:52.934 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203271(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 200us total 270.834ms
07-15 01:14:54.531 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207378(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 195us total 262.018ms
07-15 01:14:56.127 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205448(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 218us total 259.418ms
07-15 01:14:57.727 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207207(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 158us total 256.709ms
07-15 01:14:59.309 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205891(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 246us total 255.670ms
07-15 01:15:00.890 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202934(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 146us total 252.477ms
07-15 01:15:02.507 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206403(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 155us total 267.001ms
07-15 01:15:04.114 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207404(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 212us total 266.097ms
07-15 01:15:05.706 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206940(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 173us total 253.044ms
07-15 01:15:07.293 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204887(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 166us total 259.712ms
07-15 01:15:08.901 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207400(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 232us total 267.696ms
07-15 01:15:10.516 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206806(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 221us total 271.994ms
07-15 01:15:12.130 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206999(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 195us total 268.882ms
07-15 01:15:13.727 17906 17920 I vision.svplaye: Background concurrent copying GC freed 208108(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 196us total 257.145ms
07-15 01:15:15.326 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205932(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 183us total 254.817ms
07-15 01:15:16.898 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205857(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 150us total 251.100ms
07-15 01:15:18.503 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203739(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 257us total 260.378ms
07-15 01:15:20.109 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206232(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 168us total 264.854ms
07-15 01:15:21.718 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207041(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 165us total 271.317ms
07-15 01:15:23.319 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207037(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 170us total 266.534ms
07-15 01:15:24.914 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206400(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 181us total 259.337ms
07-15 01:15:26.518 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206088(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 170us total 264.422ms
07-15 01:15:28.119 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207424(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 181us total 258.208ms
07-15 01:15:29.725 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207053(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 184us total 260.200ms
07-15 01:15:31.334 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206264(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 328us total 269.511ms
07-15 01:15:32.930 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207878(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 196us total 257.405ms
07-15 01:15:34.525 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205524(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 282us total 253.464ms
07-15 01:15:36.117 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206373(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 185us total 262.329ms
07-15 01:15:37.718 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205813(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 181us total 265.240ms
07-15 01:15:39.309 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205967(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 164us total 256.053ms
07-15 01:15:40.916 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204757(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 183us total 266.443ms
07-15 01:15:42.504 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207624(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 161us total 251.587ms
07-15 01:15:44.097 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205274(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 201us total 263.851ms
07-15 01:15:45.685 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207204(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 162us total 255.009ms
07-15 01:15:47.292 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203629(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 194us total 262.240ms
07-15 01:15:48.854 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204322(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 189us total 257.557ms
07-15 01:15:50.456 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205140(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 165us total 260.547ms
07-15 01:15:52.071 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207767(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 175us total 270.478ms
07-15 01:15:53.661 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206803(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 180us total 256.993ms
07-15 01:15:55.239 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205210(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 207us total 256.155ms
07-15 01:15:56.843 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204525(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 289us total 268.951ms
07-15 01:15:58.431 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205148(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 191us total 258.015ms
07-15 01:16:00.042 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207726(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 194us total 265.961ms
07-15 01:16:01.645 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207008(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 199us total 263.599ms
07-15 01:16:03.250 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206981(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 197us total 262.755ms
07-15 01:16:04.844 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206782(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 168us total 254.962ms
07-15 01:16:06.444 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205681(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 144us total 256.023ms
07-15 01:16:08.046 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207438(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 157us total 252.986ms
07-15 01:16:09.632 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206379(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 318us total 256.989ms
07-15 01:16:11.223 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203460(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 168us total 257.046ms
07-15 01:16:12.846 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205651(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 150us total 281.248ms
07-15 01:16:14.450 17906 17920 I vision.svplaye: Background concurrent copying GC freed 211230(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 135us total 260.540ms
07-15 01:16:16.043 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207233(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 221us total 254.704ms
07-15 01:16:17.635 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203236(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 180us total 255.542ms
07-15 01:16:19.234 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206281(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 156us total 255.085ms
07-15 01:16:20.826 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206237(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 228us total 261.859ms
07-15 01:16:22.430 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205721(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 244us total 269.587ms
07-15 01:16:24.019 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207543(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 237us total 254.482ms
07-15 01:16:25.617 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204167(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 199us total 257.097ms
07-15 01:16:27.227 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206563(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 178us total 263.760ms
07-15 01:16:28.829 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206671(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 224us total 264.336ms
07-15 01:16:30.431 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206895(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 168us total 263.189ms
07-15 01:16:32.046 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206605(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 181us total 277.691ms
07-15 01:16:33.648 17906 17920 I vision.svplaye: Background concurrent copying GC freed 210962(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 161us total 260.634ms
07-15 01:16:35.242 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203723(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 331us total 262.702ms
07-15 01:16:36.843 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205724(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 153us total 264.591ms
07-15 01:16:38.441 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207657(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 169us total 255.665ms
07-15 01:16:40.042 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206122(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 195us total 257.200ms
07-15 01:16:41.642 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206136(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 195us total 271.785ms
07-15 01:16:43.253 17906 17920 I vision.svplaye: Background concurrent copying GC freed 208052(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 158us total 261.205ms
07-15 01:16:44.864 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207061(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 168us total 265.864ms
07-15 01:16:46.461 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206770(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 147us total 262.058ms
07-15 01:16:48.063 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207165(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 163us total 260.690ms
07-15 01:16:49.629 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204407(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 182us total 256.655ms
07-15 01:16:51.231 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205700(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 168us total 259.583ms
07-15 01:16:52.834 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207228(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 153us total 258.820ms
07-15 01:16:54.445 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206911(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 210us total 266.172ms
07-15 01:16:56.025 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206158(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 236us total 268.283ms
07-15 01:16:57.623 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206734(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 167us total 257.664ms
07-15 01:16:59.212 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202965(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 150us total 261.360ms
07-15 01:17:00.810 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206475(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 150us total 256.517ms
