--------- beginning of main
07-15 00:27:47.792 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:28:03.636 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:28:19.497 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:28:35.370 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:28:51.297 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:29:07.212 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:29:23.067 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:29:40.468 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:29:56.385 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:30:12.309 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:30:28.265 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:30:44.070 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 8 lines
07-15 00:31:38.093 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200818(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 177us total 207.999ms
07-15 00:31:39.677 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198415(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 160us total 208.514ms
07-15 00:31:41.277 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201563(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 170us total 208.749ms
07-15 00:31:42.852 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199266(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 250us total 216.420ms
07-15 00:31:44.435 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199807(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 199us total 204.028ms
07-15 00:31:46.048 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200701(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 204us total 224.826ms
07-15 00:31:47.629 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202425(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 152us total 207.599ms
07-15 00:31:49.194 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198058(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 189us total 206.149ms
07-15 00:31:50.804 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200796(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 237us total 221.479ms
07-15 00:31:52.373 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201508(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 146us total 212.167ms
07-15 00:31:53.952 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199297(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 174us total 203.906ms
07-15 00:31:55.526 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198389(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 183us total 211.709ms
