--------- beginning of main
07-15 00:31:31.764 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:31:47.629 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:32:03.451 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:32:19.310 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:32:35.227 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:32:51.155 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:33:07.027 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 4 lines
07-15 00:33:11.616 17906 17944 I chatty  : uid=10247(com.smartvision.svplayer) WM.task-1 expire 1 line
07-15 00:33:11.694 17906 17932 I chatty  : uid=10247(com.smartvision.svplayer) Profile Saver expire 2 lines
07-15 00:33:13.344 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:33:29.228 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:33:45.052 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:34:00.937 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:34:16.618 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:34:32.285 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 3 lines
07-15 00:35:14.372 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201323(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 180us total 212.650ms
07-15 00:35:15.936 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202116(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 182us total 208.541ms
07-15 00:35:17.501 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202007(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 220us total 206.344ms
07-15 00:35:19.086 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202008(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 232us total 220.966ms
07-15 00:35:20.644 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201884(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 193us total 213.634ms
07-15 00:35:22.213 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201929(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 188us total 212.646ms
07-15 00:35:23.778 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202422(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 196us total 207.078ms
07-15 00:35:25.334 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200442(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 183us total 221.303ms
07-15 00:35:26.889 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201389(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 217us total 213.730ms
07-15 00:35:28.481 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199700(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 201us total 235.646ms
07-15 00:35:30.023 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203659(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 211us total 207.354ms
07-15 00:35:31.561 17906 17920 I vision.svplaye: Background concurrent copying GC freed 197453(6MB) AllocSpace objects, 1(20KB) LOS objects, 23% free, 19MB/25MB, paused 183us total 213.888ms
07-15 00:35:33.129 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200532(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 236us total 216.314ms
07-15 00:35:34.650 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199391(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 180us total 211.622ms
07-15 00:35:36.218 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200042(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 266us total 218.550ms
07-15 00:35:37.757 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201964(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 227us total 210.967ms
07-15 00:35:39.304 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198851(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 186us total 204.075ms
07-15 00:35:40.850 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199492(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 260us total 213.992ms
07-15 00:35:42.409 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199936(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 180us total 213.769ms
07-15 00:35:43.972 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199383(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 219us total 216.422ms
07-15 00:35:45.531 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202525(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 182us total 208.738ms
07-15 00:35:47.080 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201403(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 237us total 209.115ms
07-15 00:35:48.636 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199165(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 166us total 212.346ms
07-15 00:35:50.199 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200402(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 278us total 214.015ms
07-15 00:35:51.785 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202347(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 174us total 233.918ms
07-15 00:35:53.323 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199235(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 173us total 210.787ms
07-15 00:35:54.936 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200229(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 174us total 222.634ms
07-15 00:35:56.538 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202167(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 382us total 226.998ms
07-15 00:35:58.115 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202725(6MB) AllocSpace objects, 1(20KB) LOS objects, 23% free, 19MB/25MB, paused 159us total 204.018ms
07-15 00:35:59.691 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198228(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 187us total 211.685ms
07-15 00:36:01.298 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200285(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 185us total 225.850ms
07-15 00:36:02.891 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202871(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 241us total 215.587ms
07-15 00:36:04.483 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201280(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 147us total 213.062ms
07-15 00:36:06.081 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202163(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 147us total 213.237ms
07-15 00:36:07.687 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201823(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 151us total 219.587ms
07-15 00:36:09.275 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201689(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 179us total 209.568ms
07-15 00:36:10.883 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201798(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 570us total 219.327ms
07-15 00:36:12.474 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202671(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 154us total 209.553ms
07-15 00:36:14.055 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200491(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 212us total 218.421ms
07-15 00:36:15.635 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199858(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 176us total 205.670ms
07-15 00:36:17.213 17906 17920 I vision.svplaye: Background concurrent copying GC freed 197720(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 157us total 213.406ms
07-15 00:36:18.802 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199785(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 164us total 215.779ms
07-15 00:36:20.395 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201317(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 158us total 212.971ms
07-15 00:36:21.999 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201684(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 160us total 218.622ms
07-15 00:36:23.566 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201201(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 159us total 205.641ms
07-15 00:36:25.153 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198754(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 176us total 209.347ms
07-15 00:36:26.763 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201081(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 164us total 223.537ms
07-15 00:36:28.373 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202002(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 231us total 226.613ms
07-15 00:36:29.968 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202649(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 168us total 219.580ms
07-15 00:36:31.534 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200471(6MB) AllocSpace objects, 1(20KB) LOS objects, 23% free, 19MB/25MB, paused 166us total 213.120ms
07-15 00:36:33.121 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199491(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 223us total 211.400ms
07-15 00:36:34.688 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199299(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 174us total 207.762ms
07-15 00:36:36.252 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198183(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 216us total 213.243ms
07-15 00:36:37.820 17906 17920 I vision.svplaye: Background concurrent copying GC freed 197500(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 268us total 211.860ms
07-15 00:36:39.404 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199925(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 175us total 212.036ms
07-15 00:36:40.968 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199010(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 203us total 206.052ms
07-15 00:36:42.565 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198997(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 208us total 215.412ms
07-15 00:36:44.124 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200570(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 159us total 206.365ms
07-15 00:36:45.724 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198218(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 149us total 218.264ms
07-15 00:36:47.320 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201623(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 158us total 215.778ms
07-15 00:36:48.924 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201439(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 169us total 221.015ms
07-15 00:36:50.525 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202126(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 194us total 222.386ms
07-15 00:36:52.108 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202032(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 156us total 206.351ms
07-15 00:36:53.674 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198789(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 184us total 204.937ms
07-15 00:36:55.259 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198758(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 215us total 214.102ms
07-15 00:36:56.833 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200245(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 249us total 204.530ms
07-15 00:36:58.429 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200060(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 143us total 208.948ms
07-15 00:37:00.028 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199683(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 205us total 227.860ms
07-15 00:37:01.595 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199417(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 147us total 206.577ms
07-15 00:37:03.162 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198388(6MB) AllocSpace objects, 1(20KB) LOS objects, 23% free, 19MB/25MB, paused 190us total 207.481ms
07-15 00:37:04.737 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199028(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 189us total 216.060ms
07-15 00:37:06.345 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199514(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 248us total 229.246ms
07-15 00:37:07.933 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202942(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 268us total 217.818ms
07-15 00:37:09.539 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200129(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 286us total 230.252ms
07-15 00:37:11.127 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204517(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 235us total 207.999ms
07-15 00:37:12.715 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199168(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 158us total 210.113ms
07-15 00:37:14.300 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202016(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 168us total 210.468ms
07-15 00:37:15.879 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199640(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 206us total 207.069ms
07-15 00:37:17.454 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199070(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 185us total 209.578ms
07-15 00:37:19.037 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199291(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 172us total 208.396ms
07-15 00:37:20.605 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199410(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 162us total 207.979ms
07-15 00:37:22.196 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198469(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 436us total 210.810ms
07-15 00:37:23.797 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202107(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 154us total 213.213ms
07-15 00:37:25.370 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201616(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 234us total 207.834ms
07-15 00:37:26.933 17906 17920 I vision.svplaye: Background concurrent copying GC freed 196912(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 200us total 209.619ms
07-15 00:37:28.515 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198290(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 149us total 209.164ms
07-15 00:37:30.110 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201138(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 151us total 206.782ms
07-15 00:37:31.700 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199658(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 217us total 222.483ms
07-15 00:37:33.282 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199956(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 197us total 211.219ms
07-15 00:37:34.878 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201726(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 181us total 210.223ms
07-15 00:37:36.443 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198354(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 157us total 219.720ms
07-15 00:37:38.012 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201301(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 151us total 208.530ms
07-15 00:37:39.594 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198714(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 197us total 204.142ms
07-15 00:37:41.188 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200143(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 156us total 206.501ms
07-15 00:37:42.763 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199086(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 223us total 211.333ms
07-15 00:37:44.348 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200374(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 217us total 202.736ms
07-15 00:37:45.919 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198738(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 210us total 210.511ms
07-15 00:37:47.515 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200112(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 160us total 213.065ms
07-15 00:37:49.117 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203082(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 167us total 213.154ms
07-15 00:37:50.715 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201169(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 178us total 213.737ms
07-15 00:37:52.298 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201679(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 215us total 220.989ms
07-15 00:37:53.875 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198909(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 155us total 213.533ms
07-15 00:37:55.495 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201684(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 154us total 226.794ms
07-15 00:37:57.052 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201029(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 163us total 210.549ms
