--------- beginning of main
07-15 00:50:40.416 17906 17932 I chatty  : uid=10247(com.smartvision.svplayer) Profile Saver expire 2 lines
07-15 00:50:42.241 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:50:58.097 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:51:14.024 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:51:29.821 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:51:45.651 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:52:02.782 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:52:18.326 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:52:35.485 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:52:51.106 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:53:06.815 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 1 line
07-15 00:53:49.005 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200280(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 192us total 211.063ms
07-15 00:53:50.574 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201450(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 150us total 214.994ms
07-15 00:53:52.152 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201954(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 180us total 222.175ms
07-15 00:53:53.724 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202656(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 352us total 218.628ms
07-15 00:53:55.289 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201866(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 217us total 213.935ms
07-15 00:53:56.839 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200702(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 203us total 219.351ms
07-15 00:53:58.389 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199333(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 222us total 210.001ms
07-15 00:53:59.936 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199304(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 244us total 211.366ms
07-15 00:54:01.506 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200368(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 173us total 220.807ms
07-15 00:54:03.067 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200585(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 197us total 213.226ms
07-15 00:54:04.632 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201530(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 197us total 209.702ms
07-15 00:54:06.169 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200600(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 160us total 206.670ms
07-15 00:54:07.745 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198932(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 181us total 223.681ms
07-15 00:54:09.305 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201624(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 180us total 214.224ms
07-15 00:54:10.871 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201348(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 156us total 212.217ms
07-15 00:54:12.457 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201769(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 153us total 223.044ms
07-15 00:54:14.024 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202154(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 229us total 219.369ms
