--------- beginning of main
07-15 01:06:41.963 17906 17920 I vision.svplaye: Background concurrent copying GC freed 208748(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 159us total 242.248ms
07-15 01:06:44.350 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207616(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 197us total 242.673ms
07-15 01:06:46.658 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202665(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 318us total 246.390ms
07-15 01:06:49.042 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207611(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 230us total 237.385ms
07-15 01:06:51.435 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205764(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 216us total 250.923ms
07-15 01:06:53.786 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207248(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 166us total 226.752ms
07-15 01:06:56.148 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203433(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 175us total 238.271ms
07-15 01:06:58.512 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204507(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 240us total 243.082ms
07-15 01:07:00.901 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206762(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 211us total 254.126ms
07-15 01:07:03.261 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206074(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 245us total 238.733ms
07-15 01:07:05.621 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204851(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 203us total 236.989ms
07-15 01:07:07.985 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204062(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 201us total 252.490ms
07-15 01:07:10.386 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207425(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 232us total 243.316ms
07-15 01:07:12.776 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203883(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 194us total 234.766ms
07-15 01:07:15.162 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204822(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 221us total 237.366ms
07-15 01:07:17.565 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205166(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 257us total 240.403ms
07-15 01:07:19.964 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206173(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 194us total 238.786ms
07-15 01:07:22.370 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205968(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 217us total 241.985ms
07-15 01:07:24.781 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206212(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 200us total 249.452ms
07-15 01:07:27.191 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207679(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 212us total 251.239ms
07-15 01:07:29.526 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202851(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 190us total 239.625ms
07-15 01:07:31.908 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205780(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 158us total 237.074ms
07-15 01:07:34.295 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206184(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 225us total 248.804ms
07-15 01:07:36.663 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204511(6MB) AllocSpace objects, 1(20KB) LOS objects, 21% free, 21MB/27MB, paused 194us total 238.749ms
07-15 01:07:39.040 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205028(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 223us total 256.792ms
07-15 01:07:41.427 17906 17920 I vision.svplaye: Background concurrent copying GC freed 208415(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 211us total 256.087ms
07-15 01:07:43.802 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206228(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 189us total 247.690ms
