--------- beginning of main
07-15 00:27:16.111 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:27:31.946 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:27:47.792 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:28:03.636 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:28:19.497 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 6 lines
07-15 00:29:16.686 17906 17920 I vision.svplaye: Background concurrent copying GC freed 197422(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 210us total 212.043ms
07-15 00:29:18.278 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200328(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 177us total 213.764ms
07-15 00:29:19.879 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202662(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 295us total 214.238ms
07-15 00:29:21.478 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201708(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 153us total 215.873ms
07-15 00:29:23.067 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201905(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 146us total 203.891ms
07-15 00:29:24.642 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199180(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 168us total 210.398ms
07-15 00:29:26.228 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198802(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 176us total 204.220ms
07-15 00:29:27.795 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200030(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 361us total 205.198ms
07-15 00:29:29.385 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198734(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 145us total 204.520ms
07-15 00:29:30.959 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199098(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 193us total 208.452ms
07-15 00:29:32.517 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198109(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 147us total 213.448ms
07-15 00:29:34.111 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202517(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 153us total 207.048ms
07-15 00:29:35.692 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198403(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 196us total 219.719ms
07-15 00:29:37.274 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199919(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 183us total 208.911ms
